mode,metric,n_seeds,mean,median,q1,q3,min,max,display_seed_value
no,eta2,1,0.8973,0.8973,0.8973,0.8973,0.8973,0.8973,0.8973
no,maxrun,1,24.0,24.0,24.0,24.0,24.0,24.0,24.0
random,eta2,2000,0.0551,0.0447,0.0236,0.0752,0.0004,0.2695,0.0441
random,maxrun,2000,4.2965,4.0,3.0,5.0,2.0,11.0,4.0
blocked,eta2,2000,0.2469,0.2468,0.2412,0.2524,0.219,0.2737,0.2487
blocked,maxrun,2000,10.5055,11.0,10.0,11.0,10.0,11.0,11.0
blocked_uniform,eta2,2000,0.0029,0.0029,0.0025,0.0033,0.0013,0.0051,0.0018
blocked_uniform,maxrun,2000,1.6255,2.0,1.0,2.0,1.0,2.0,2.0
