method_id,method_type,method_name,method_path,acquisition_mode,spd,gradient_min,notes
autoQC01,qc,autoQC01,C:\Xcalibur\methods\Method with SII setup\__autoQC\trap\autoQC01,dda,,,Standard QC
autoQC03dda,qc,autoQC03dda,C:\Xcalibur\methods\Method with SII setup\__autoQC\trap\autoQC03dda,dda,,,DDA benchmark
autoQC03dia,qc,autoQC03dia,C:\Xcalibur\methods\Method with SII setup\__autoQC\trap\autoQC03dia,dia,,,DIA benchmark
clean,clean,general_clean,C:\Xcalibur\methods\Method with SII setup\__clean\general_clean,,,,Column cleaning
dda_gt50,sample,DDA_GT50_RT70min_HCD_IT,C:\Xcalibur\methods\Method with SII setup\__Service\__LFQ\DDA_GT50_RT70min_HCD_IT,dda,,70,Standard DDA 70min
